locus_id	chr	pos_hg38	lead_snp	ensembl_id	gene_symbol	trait	evidence_class	mechanism_class	confidence	source	pubmed_id
ENSG00000180210_cerebrovascular_acci_nan	11	46739505		ENSG00000180210	ENSG00000180210	cerebrovascular accident	drug	CODING	High	OpenTargets_2024	26908601.0
ENSG00000180210_deep_vein_thrombosis_nan	11	46739505		ENSG00000180210	ENSG00000180210	deep vein thrombosis	drug	CODING	High	OpenTargets_2024	
ENSG00000197891_gout_nan	11	64566642		ENSG00000197891	ENSG00000197891	gout	drug	CODING	High	OpenTargets_2024	
ENSG00000168065_gout_nan	11	64566642		ENSG00000168065	ENSG00000168065	gout	drug	CODING	High	OpenTargets_2024	
ENSG00000196611_chronic_obstructive__nan	11	102850214		ENSG00000196611	ENSG00000196611	chronic obstructive pulmonary disease	drug	CODING	High	OpenTargets_2024	24621683.0
ENSG00000137745_chronic_obstructive__nan	11	102850214		ENSG00000137745	ENSG00000137745	chronic obstructive pulmonary disease	drug	CODING	High	OpenTargets_2024	24621683.0
ENSG00000149295_schizophrenia_nan	11	113345201		ENSG00000149295	ENSG00000149295	schizophrenia	drug	CODING	High	OpenTargets_2024	30285260.0
ENSG00000149295_anxiety_nan	11	113493925		ENSG00000149295	ENSG00000149295	anxiety	drug	CODING	High	OpenTargets_2024	29942085.0
ENSG00000149295_unipolar_depression_nan	11	113500036		ENSG00000149295	ENSG00000149295	unipolar depression	drug	CODING	High	OpenTargets_2024	30718901.0
ENSG00000149295_mood_disorder_nan	11	113515625		ENSG00000149295	ENSG00000149295	mood disorder	drug	CODING	High	OpenTargets_2024	29942085.0
ENSG00000149295_autism_spectrum_diso_nan	11	113541721		ENSG00000149295	ENSG00000149295	autism spectrum disorder	drug	CODING	High	OpenTargets_2024	28540026.0
ENSG00000166736_prostate_carcinoma_nan	11	113936459		ENSG00000166736	ENSG00000166736	prostate carcinoma	drug	CODING	High	OpenTargets_2024	25217961.0
ENSG00000172572_Ischemic_stroke_nan	12	20424659		ENSG00000172572	ENSG00000172572	Ischemic stroke	drug	CODING	High	OpenTargets_2024	29531354.0
ENSG00000111424_hypertension_nan	12	47792780		ENSG00000111424	ENSG00000111424	hypertension	drug	CODING	High	OpenTargets_2024	
ENSG00000111424_chronic_obstructive__nan	12	47810716		ENSG00000111424	ENSG00000111424	chronic obstructive pulmonary disease	drug	CODING	High	OpenTargets_2024	30940143.0
ENSG00000111424_psoriasis_nan	12	47814585		ENSG00000111424	ENSG00000111424	psoriasis	drug	CODING	High	OpenTargets_2024	26974007.0
ENSG00000111424_Crohn's_disease_nan	12	47814585		ENSG00000111424	ENSG00000111424	Crohn's disease	drug	CODING	High	OpenTargets_2024	26974007.0
ENSG00000111424_rheumatoid_arthritis_nan	12	48021974		ENSG00000111424	ENSG00000111424	rheumatoid arthritis	drug	CODING	High	OpenTargets_2024	30891314.0
ENSG00000110944_psoriasis_nan	12	56344189		ENSG00000110944	ENSG00000110944	psoriasis	drug	CODING	High	OpenTargets_2024	19169254.0
ENSG00000110944_psoriasis_vulgaris_nan	12	56356420		ENSG00000110944	ENSG00000110944	psoriasis vulgaris	drug	CODING	High	OpenTargets_2024	26626624.0
ENSG00000111275_alcohol_dependence_nan	12	111803962		ENSG00000111275	ENSG00000111275	alcohol dependence	drug	CODING	High	OpenTargets_2024	24277619.0
ENSG00000133105_cardiovascular_syste_nan	13	31671676		ENSG00000133105	ENSG00000133105	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000126218_osteoarthritis_nan	13	113040195		ENSG00000126218	ENSG00000126218	osteoarthritis	drug	CODING	High	OpenTargets_2024	21871595.0
ENSG00000126218_atrial_fibrillation_nan	13	113218398		ENSG00000126218	ENSG00000126218	atrial fibrillation	drug	CODING	High	OpenTargets_2024	30061737.0
ENSG00000140009_unipolar_depression_nan	14	64219489		ENSG00000140009	ENSG00000140009	unipolar depression	drug	CODING	High	OpenTargets_2024	29700475.0
ENSG00000074410_heart_failure_nan	15	63445726		ENSG00000074410	ENSG00000074410	heart failure	drug	CODING	High	OpenTargets_2024	20445134.0
ENSG00000138622_atrial_fibrillation_nan	15	73359833		ENSG00000138622	ENSG00000138622	atrial fibrillation	drug	CODING	High	OpenTargets_2024	22544366.0
ENSG00000077238_Eczema_nan	16	27360218		ENSG00000077238	ENSG00000077238	Eczema	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000070915_diabetes_mellitus_nan	16	56956804		ENSG00000070915	ENSG00000070915	diabetes mellitus	drug	CODING	High	OpenTargets_2024	27790247.0
ENSG00000070915_heart_failure_nan	16	56956804		ENSG00000070915	ENSG00000070915	heart failure	drug	CODING	High	OpenTargets_2024	27790247.0
ENSG00000258947_cancer_nan	16	89957798		ENSG00000258947	ENSG00000258947	cancer	drug	CODING	High	OpenTargets_2024	
ENSG00000258947_squamous_cell_carcin_nan	16	89960104		ENSG00000258947	ENSG00000258947	squamous cell carcinoma	drug	CODING	High	OpenTargets_2024	26829030.0
ENSG00000159640_cardiovascular_syste_nan	17	63471557		ENSG00000159640	ENSG00000159640	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000159640_hypertension_nan	17	63471587		ENSG00000159640	ENSG00000159640	hypertension	drug	CODING	High	OpenTargets_2024	
ENSG00000171791_chronic_lymphocytic__nan	18	63121512		ENSG00000171791	ENSG00000171791	chronic lymphocytic leukemia	drug	CODING	High	OpenTargets_2024	28165464.0
ENSG00000171303_hypertension_nan	2	26691496		ENSG00000171303	ENSG00000171303	hypertension	drug	CODING	High	OpenTargets_2024	
ENSG00000277893_androgenetic_alopeci_nan	2	31580756		ENSG00000277893	ENSG00000277893	androgenetic alopecia	drug	CODING	High	OpenTargets_2024	27182965.0
ENSG00000138039_polycystic_ovary_syn_nan	2	48751020		ENSG00000138039	ENSG00000138039	polycystic ovary syndrome	drug	CODING	High	OpenTargets_2024	21151128.0
ENSG00000170820_polycystic_ovary_syn_nan	2	48974473		ENSG00000170820	ENSG00000170820	polycystic ovary syndrome	drug	CODING	High	OpenTargets_2024	22885925.0
ENSG00000197635_schizophrenia_nan	2	161989345		ENSG00000197635	ENSG00000197635	schizophrenia	drug	CODING	High	OpenTargets_2024	25056061.0
ENSG00000115232_Crohn's_disease_nan	2	181443625		ENSG00000115232	ENSG00000115232	Crohn's disease	drug	CODING	High	OpenTargets_2024	28067908.0
ENSG00000101162_breast_carcinoma_nan	20	59084069		ENSG00000101162	ENSG00000101162	breast carcinoma	drug	CODING	High	OpenTargets_2024	25751625.0
PPARG_diabetes_mellitus_nan	3	12288284		ENSG00000132170	PPARG	diabetes mellitus	drug	CODING	High	OpenTargets_2024	
PPARG_type_II_diabetes_mel_nan	3	12288284		ENSG00000132170	PPARG	type II diabetes mellitus	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000183873_atrial_fibrillation_nan	3	38592651		ENSG00000183873	ENSG00000183873	atrial fibrillation	drug	CODING	High	OpenTargets_2024	29892015.0
ENSG00000160791_HIV-1_infection_nan	3	46410189		ENSG00000160791	ENSG00000160791	HIV-1 infection	drug	CODING	High	OpenTargets_2024	26553974.0
ENSG00000121594_primary_biliary_cirr_nan	3	119431242		ENSG00000121594	ENSG00000121594	primary biliary cirrhosis	drug	CODING	High	OpenTargets_2024	28425483.0
ENSG00000151834_ulcerative_colitis_nan	4	46541289		ENSG00000151834	ENSG00000151834	ulcerative colitis	drug	CODING	High	OpenTargets_2024	21297633.0
ENSG00000151623_atrial_fibrillation_nan	4	148016386		ENSG00000151623	ENSG00000151623	atrial fibrillation	drug	CODING	High	OpenTargets_2024	30061737.0
ENSG00000061918_coronary_artery_dise_nan	4	155693032		ENSG00000061918	ENSG00000061918	coronary artery disease	drug	CODING	High	OpenTargets_2024	29212778.0
ENSG00000061918_myocardial_infarctio_nan	4	155718736		ENSG00000061918	ENSG00000061918	myocardial infarction	drug	CODING	High	OpenTargets_2024	26343387.0
ENSG00000061918_hypertension_nan	4	155721732		ENSG00000061918	ENSG00000061918	hypertension	drug	CODING	High	OpenTargets_2024	
ENSG00000061918_cardiovascular_syste_nan	4	155725188		ENSG00000061918	ENSG00000061918	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000142319_insomnia_nan	5	1442864		ENSG00000142319	ENSG00000142319	insomnia	drug	CODING	High	OpenTargets_2024	
ENSG00000113161_cerebrovascular_acci_nan	5	75329662		ENSG00000113161	ENSG00000113161	cerebrovascular accident	drug	CODING	High	OpenTargets_2024	27790247.0
ENSG00000113161_atrial_fibrillation_nan	5	75329662		ENSG00000113161	ENSG00000113161	atrial fibrillation	drug	CODING	High	OpenTargets_2024	27790247.0
ENSG00000113161_heart_failure_nan	5	75329662		ENSG00000113161	ENSG00000113161	heart failure	drug	CODING	High	OpenTargets_2024	27790247.0
ENSG00000113161_diabetes_mellitus_nan	5	75329662		ENSG00000113161	ENSG00000113161	diabetes mellitus	drug	CODING	High	OpenTargets_2024	27790247.0
ENSG00000113161_coronary_heart_disea_nan	5	75329662		ENSG00000113161	ENSG00000113161	coronary heart disease	drug	CODING	High	OpenTargets_2024	27790247.0
ENSG00000113161_cardiovascular_syste_nan	5	75360714		ENSG00000113161	ENSG00000113161	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000113525_asthma_nan	5	132461855		ENSG00000113525	ENSG00000113525	asthma	drug	CODING	High	OpenTargets_2024	29273806.0
ENSG00000113580_atrial_fibrillation_nan	5	143270839		ENSG00000113580	ENSG00000113580	atrial fibrillation	drug	CODING	High	OpenTargets_2024	29892015.0
ENSG00000113302_psoriasis_nan	5	159242905		ENSG00000113302	ENSG00000113302	psoriasis	drug	CODING	High	OpenTargets_2024	23143594.0
ENSG00000113302_psoriatic_arthritis_nan	5	159328837		ENSG00000113302	ENSG00000113302	psoriatic arthritis	drug	CODING	High	OpenTargets_2024	
ENSG00000022355_anxiety_nan	5	161984283		ENSG00000022355	ENSG00000022355	anxiety	drug	CODING	High	OpenTargets_2024	
ENSG00000113327_anxiety_nan	5	161984283		ENSG00000113327	ENSG00000113327	anxiety	drug	CODING	High	OpenTargets_2024	
ENSG00000196230_prostate_carcinoma_nan	6	30633455		ENSG00000196230	ENSG00000196230	prostate carcinoma	drug	CODING	High	OpenTargets_2024	29892016.0
ENSG00000232810_ulcerative_colitis_nan	6	31481085		ENSG00000232810	ENSG00000232810	ulcerative colitis	drug	CODING	High	OpenTargets_2024	24837172.0
ENSG00000232810_Crohn's_disease_nan	6	31574531		ENSG00000232810	ENSG00000232810	Crohn's disease	drug	CODING	High	OpenTargets_2024	21102463.0
ENSG00000232810_hypertension_nan	6	31648589		ENSG00000232810	ENSG00000232810	hypertension	drug	CODING	High	OpenTargets_2024	21909115.0
ENSG00000232810_rheumatoid_arthritis_nan	6	31654829		ENSG00000232810	ENSG00000232810	rheumatoid arthritis	drug	CODING	High	OpenTargets_2024	21844665.0
ENSG00000112164_type_II_diabetes_mel_nan	6	39071364		ENSG00000112164	ENSG00000112164	type II diabetes mellitus	drug	CODING	High	OpenTargets_2024	30718926.0
ENSG00000112164_myocardial_infarctio_nan	6	39156672		ENSG00000112164	ENSG00000112164	myocardial infarction	drug	CODING	High	OpenTargets_2024	26343387.0
ENSG00000112715_wet_macular_degenera_nan	6	43858890		ENSG00000112715	ENSG00000112715	wet macular degeneration	drug	CODING	High	OpenTargets_2024	26691988.0
ENSG00000112715_age-related_macular__nan	6	43858890		ENSG00000112715	ENSG00000112715	age-related macular degeneration	drug	CODING	High	OpenTargets_2024	26691988.0
ENSG00000091831_breast_carcinoma_nan	6	151592978		ENSG00000091831	ENSG00000091831	breast carcinoma	drug	CODING	High	OpenTargets_2024	23535729.0
ENSG00000091831_unipolar_depression_nan	6	151604372		ENSG00000091831	ENSG00000091831	unipolar depression	drug	CODING	High	OpenTargets_2024	29942085.0
ENSG00000122194_coronary_artery_dise_nan	6	160666831		ENSG00000122194	ENSG00000122194	coronary artery disease	drug	CODING	High	OpenTargets_2024	29212778.0
ENSG00000122194_myocardial_infarctio_nan	6	160687112		ENSG00000122194	ENSG00000122194	myocardial infarction	drug	CODING	High	OpenTargets_2024	26343387.0
ENSG00000015520_cardiovascular_syste_nan	7	44542387		ENSG00000015520	ENSG00000015520	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
ENSG00000055118_atrial_fibrillation_nan	7	150964321		ENSG00000055118	ENSG00000055118	atrial fibrillation	drug	CODING	High	OpenTargets_2024	30061737.0
ENSG00000055118_cardiovascular_syste_nan	7	150993088		ENSG00000055118	ENSG00000055118	cardiovascular system disease	drug	CODING	High	OpenTargets_2024	30595370.0
JAK2_polycythemia_vera_nan	9	5049092		ENSG00000096968	JAK2	polycythemia vera	drug	CODING	High	OpenTargets_2024	
ENSG00000147955_ulcerative_colitis_nan	9	34710263		ENSG00000147955	ENSG00000147955	ulcerative colitis	drug	CODING	High	OpenTargets_2024	26974007.0
ENSG00000147955_Crohn's_disease_nan	9	34710263		ENSG00000147955	ENSG00000147955	Crohn's disease	drug	CODING	High	OpenTargets_2024	26974007.0
ENSG00000106804_immune_system_diseas_nan	9	120878222		ENSG00000106804	ENSG00000106804	immune system disease	drug	CODING	High	OpenTargets_2024	21383967.0
ENSG00000169083_prostate_carcinoma_nan	X	67801708		ENSG00000169083	ENSG00000169083	prostate carcinoma	drug	CODING	High	OpenTargets_2024	21743467.0
ENSG00000177000_folic_acid_measureme_nan	1	11796321		ENSG00000177000	ENSG00000177000	folic acid measurement	expert curated	CODING	High	OpenTargets_2024	29953918.0
ENSG00000162551_nephrolithiasis_nan	1	21577881		ENSG00000162551	ENSG00000162551	nephrolithiasis	expert curated	CODING	High	OpenTargets_2024	
ENSG00000116678_wrist_fracture_nan	1	65644601		ENSG00000116678	ENSG00000116678	wrist fracture	expert curated	CODING	High	OpenTargets_2024	
ENSG00000060718_osteoarthritis,_hip_nan	1	103107371		ENSG00000060718	ENSG00000060718	osteoarthritis, hip	expert curated	CODING	High	OpenTargets_2024	30664745.0
PTPN22_rheumatoid_arthritis_nan	1	113834946		ENSG00000134242	PTPN22	rheumatoid arthritis	expert curated	CODING	High	OpenTargets_2024	20453842.0
ENSG00000092621_glycine_measurement_nan	1	119711883		ENSG00000092621	ENSG00000092621	glycine measurement	expert curated	CODING	High	OpenTargets_2024	30837465.0
ENSG00000163554_nan_nan	1	158626648		ENSG00000163554	ENSG00000163554		expert curated	CODING	High	OpenTargets_2024	
ENSG00000132693_C-reactive_protein_m_nan	1	159709026		ENSG00000132693	ENSG00000132693	C-reactive protein measurement	expert curated	CODING	High	OpenTargets_2024	30388399.0
ENSG00000198734_deep_vein_thrombosis_nan	1	169549811		ENSG00000198734	ENSG00000198734	deep vein thrombosis	expert curated	CODING	High	OpenTargets_2024	
ENSG00000198756_osteoarthritis,_hip_nan	1	183937111		ENSG00000198756	ENSG00000198756	osteoarthritis, hip	expert curated	CODING	High	OpenTargets_2024	30664745.0
ENSG00000215182_bringing_up_phlegm,__nan	11	1119225		ENSG00000215182	ENSG00000215182	bringing up phlegm, sputum or mucus on most days, self-reported	expert curated	CODING	High	OpenTargets_2024	
ENSG00000134827_pernicious_anemia_nan	11	59855905		ENSG00000134827	ENSG00000134827	pernicious anemia	expert curated	CODING	High	OpenTargets_2024	
ENSG00000168959_worry_measurement_nan	11	88999788		ENSG00000168959	ENSG00000168959	worry measurement	expert curated	CODING	High	OpenTargets_2024	
ENSG00000077498_skin_pigmentation_nan	11	89284793		ENSG00000077498	ENSG00000077498	skin pigmentation	expert curated	CODING	High	OpenTargets_2024	
ENSG00000165323_retinal_detachment_nan	11	92874700		ENSG00000165323	ENSG00000165323	retinal detachment	expert curated	CODING	High	OpenTargets_2024	
ENSG00000087494_osteoarthritis,_hip_nan	12	27862037		ENSG00000087494	ENSG00000087494	osteoarthritis, hip	expert curated	CODING	High	OpenTargets_2024	30664745.0
ENSG00000120659_bladder_calculus_nan	13	42127603		ENSG00000120659	ENSG00000120659	bladder calculus	expert curated	CODING	High	OpenTargets_2024	
ENSG00000169208_diet_measurement_nan	14	21569994		ENSG00000169208	ENSG00000169208	diet measurement	expert curated	CODING	High	OpenTargets_2024	
ENSG00000133937_balding_measurement_nan	14	94770878		ENSG00000133937	ENSG00000133937	balding measurement	expert curated	CODING	High	OpenTargets_2024	30573740.0
ENSG00000104044_skin_carcinoma_nan	15	27985101		ENSG00000104044	ENSG00000104044	skin carcinoma	expert curated	CODING	High	OpenTargets_2024	
ENSG00000104044_skin_pigmentation_nan	15	28289631		ENSG00000104044	ENSG00000104044	skin pigmentation	expert curated	CODING	High	OpenTargets_2024	
ENSG00000140285_multinodular_goiter_nan	15	49414220		ENSG00000140285	ENSG00000140285	multinodular goiter	expert curated	CODING	High	OpenTargets_2024	
ENSG00000137834_peripheral_nervous_s_nan	15	66742474		ENSG00000137834	ENSG00000137834	peripheral nervous system disease	expert curated	CODING	High	OpenTargets_2024	
ENSG00000140465_coffee_consumption_nan	15	74735539		ENSG00000140465	ENSG00000140465	coffee consumption	expert curated	CODING	High	OpenTargets_2024	
ENSG00000140505_coffee_consumption_nan	15	74735539		ENSG00000140505	ENSG00000140505	coffee consumption	expert curated	CODING	High	OpenTargets_2024	
ENSG00000140470_peripheral_nervous_s_nan	15	100152748		ENSG00000140470	ENSG00000140470	peripheral nervous system disease	expert curated	CODING	High	OpenTargets_2024	
ENSG00000078328_Myopia_nan	16	7409346		ENSG00000078328	ENSG00000078328	Myopia	expert curated	CODING	High	OpenTargets_2024	27182965.0
UMOD_nephrolithiasis_nan	16	20355185		ENSG00000169344	UMOD	nephrolithiasis	expert curated	CODING	High	OpenTargets_2024	
ENSG00000140905_glycine_measurement_nan	16	81077298		ENSG00000140905	ENSG00000140905	glycine measurement	expert curated	CODING	High	OpenTargets_2024	30837465.0
ENSG00000179588_plateletcrit_nan	16	88493291		ENSG00000179588	ENSG00000179588	plateletcrit	expert curated	CODING	High	OpenTargets_2024	
ENSG00000258839_hair_color_nan	16	89919510		ENSG00000258839	ENSG00000258839	hair color	expert curated	CODING	High	OpenTargets_2024	30531825.0
ENSG00000258839_nan_nan	16	89920138		ENSG00000258839	ENSG00000258839		expert curated	CODING	High	OpenTargets_2024	
ENSG00000007168_plateletcrit_nan	17	2055242		ENSG00000007168	ENSG00000007168	plateletcrit	expert curated	CODING	High	OpenTargets_2024	
TP53_skin_carcinoma_nan	17	7668434		ENSG00000141510	TP53	skin carcinoma	expert curated	CODING	High	OpenTargets_2024	
ENSG00000167941_bone_fracture_nan	17	43721487		ENSG00000167941	ENSG00000167941	bone fracture	expert curated	CODING	High	OpenTargets_2024	30598549.0
ENSG00000121075_heel_bone_mineral_de_nan	17	60946637		ENSG00000121075	ENSG00000121075	heel bone mineral density	expert curated	CODING	High	OpenTargets_2024	30595370.0
ENSG00000177150_heel_bone_mineral_de_nan	18	13719511		ENSG00000177150	ENSG00000177150	heel bone mineral density	expert curated	CODING	High	OpenTargets_2024	30595370.0
MC4R_lean_body_mass_nan	18	60183694		ENSG00000166603	MC4R	lean body mass	expert curated	CODING	High	OpenTargets_2024	
ENSG00000141655_heel_bone_mineral_de_nan	18	62387624		ENSG00000141655	ENSG00000141655	heel bone mineral density	expert curated	CODING	High	OpenTargets_2024	30048462.0
ENSG00000142303_peripheral_nervous_s_nan	19	8605262		ENSG00000142303	ENSG00000142303	peripheral nervous system disease	expert curated	CODING	High	OpenTargets_2024	
APOE_diet_measurement_nan	19	44908684		ENSG00000130203	APOE	diet measurement	expert curated	CODING	High	OpenTargets_2024	
APOE_simvastatin_nan	19	44909976		ENSG00000130203	APOE	simvastatin	expert curated	CODING	High	OpenTargets_2024	
ENSG00000176920_bringing_up_phlegm,__nan	19	48703160		ENSG00000176920	ENSG00000176920	bringing up phlegm, sputum or mucus on most days, self-reported	expert curated	CODING	High	OpenTargets_2024	
ENSG00000105550_Abnormal_urine_sodiu_nan	19	48756272		ENSG00000105550	ENSG00000105550	Abnormal urine sodium concentration	expert curated	CODING	High	OpenTargets_2024	
ENSG00000105550_diet_measurement_nan	19	48756272		ENSG00000105550	ENSG00000105550	diet measurement	expert curated	CODING	High	OpenTargets_2024	
ENSG00000115380_peripheral_nervous_s_nan	2	55782247		ENSG00000115380	ENSG00000115380	peripheral nervous system disease	expert curated	CODING	High	OpenTargets_2024	
ENSG00000115850_diet_measurement_nan	2	135950412		ENSG00000115850	ENSG00000115850	diet measurement	expert curated	CODING	High	OpenTargets_2024	
ENSG00000021826_glycine_measurement_nan	2	210678331		ENSG00000021826	ENSG00000021826	glycine measurement	expert curated	CODING	High	OpenTargets_2024	30837465.0
ENSG00000125845_lean_body_mass_nan	20	6729191		ENSG00000125845	ENSG00000125845	lean body mass	expert curated	CODING	High	OpenTargets_2024	
ENSG00000125798_multinodular_goiter_nan	20	22644809		ENSG00000125798	ENSG00000125798	multinodular goiter	expert curated	CODING	High	OpenTargets_2024	
ENSG00000101440_suntan_nan	20	34077942		ENSG00000101440	ENSG00000101440	suntan	expert curated	CODING	High	OpenTargets_2024	29739929.0
ENSG00000101000_deep_vein_thrombosis_nan	20	35136754		ENSG00000101000	ENSG00000101000	deep vein thrombosis	expert curated	CODING	High	OpenTargets_2024	
ENSG00000125965_lean_body_mass_nan	20	35437976		ENSG00000125965	ENSG00000125965	lean body mass	expert curated	CODING	High	OpenTargets_2024	
ENSG00000101162_plateletcrit_nan	20	59022916		ENSG00000101162	ENSG00000101162	plateletcrit	expert curated	CODING	High	OpenTargets_2024	
ENSG00000159216_plateletcrit_nan	21	35021450		ENSG00000159216	ENSG00000159216	plateletcrit	expert curated	CODING	High	OpenTargets_2024	
ENSG00000159261_nephrolithiasis_nan	21	36446573		ENSG00000159261	ENSG00000159261	nephrolithiasis	expert curated	CODING	High	OpenTargets_2024	
ENSG00000128271_coffee_consumption_nan	22	24375987		ENSG00000128271	ENSG00000128271	coffee consumption	expert curated	CODING	High	OpenTargets_2024	
PNPLA3_liver_disease_nan	22	43928850		ENSG00000100344	PNPLA3	liver disease	expert curated	CODING	High	OpenTargets_2024	
ENSG00000144908_glycine_measurement_nan	3	126191538		ENSG00000144908	ENSG00000144908	glycine measurement	expert curated	CODING	High	OpenTargets_2024	30837465.0
ENSG00000179348_plateletcrit_nan	3	128483046		ENSG00000179348	ENSG00000179348	plateletcrit	expert curated	CODING	High	OpenTargets_2024	
ENSG00000090534_plateletcrit_nan	3	184372454		ENSG00000090534	ENSG00000090534	plateletcrit	expert curated	CODING	High	OpenTargets_2024	
ENSG00000196616_alcohol_consumption__nan	4	99318162		ENSG00000196616	ENSG00000196616	alcohol consumption measurement	expert curated	CODING	High	OpenTargets_2024	30643251.0
ENSG00000088926_deep_vein_thrombosis_nan	4	186266940		ENSG00000088926	ENSG00000088926	deep vein thrombosis	expert curated	CODING	High	OpenTargets_2024	
ENSG00000164175_skin_pigmentation_nan	5	33951588		ENSG00000164175	ENSG00000164175	skin pigmentation	expert curated	CODING	High	OpenTargets_2024	
ENSG00000155511_schizophrenia_nan	5	153229059		ENSG00000155511	ENSG00000155511	schizophrenia	expert curated	CODING	High	OpenTargets_2024	26198764.0
ENSG00000164330_balding_measurement_nan	5	158916961		ENSG00000164330	ENSG00000164330	balding measurement	expert curated	CODING	High	OpenTargets_2024	30573740.0
ENSG00000131183_nephrolithiasis_nan	5	177372991		ENSG00000131183	ENSG00000131183	nephrolithiasis	expert curated	CODING	High	OpenTargets_2024	
ENSG00000137265_suntan_nan	6	396321		ENSG00000137265	ENSG00000137265	suntan	expert curated	CODING	High	OpenTargets_2024	29739929.0
ENSG00000153162_lean_body_mass_nan	6	7705771		ENSG00000153162	ENSG00000153162	lean body mass	expert curated	CODING	High	OpenTargets_2024	
HFE_iron_biomarker_measu_nan	6	26092913		ENSG00000010704	HFE	iron biomarker measurement	expert curated	CODING	High	OpenTargets_2024	25352340.0
ENSG00000112175_osteoarthritis,_hip_nan	6	55772142		ENSG00000112175	ENSG00000112175	osteoarthritis, hip	expert curated	CODING	High	OpenTargets_2024	30664745.0
ENSG00000056972_psoriasis_nan	6	111608659		ENSG00000056972	ENSG00000056972	psoriasis	expert curated	CODING	High	OpenTargets_2024	28537254.0
ENSG00000146374_bone_fracture_nan	6	127147129		ENSG00000146374	ENSG00000146374	bone fracture	expert curated	CODING	High	OpenTargets_2024	30598549.0
ENSG00000106546_coffee_consumption_nan	7	17244953		ENSG00000106546	ENSG00000106546	coffee consumption	expert curated	CODING	High	OpenTargets_2024	
ENSG00000122691_Ischemic_stroke_nan	7	19009765		ENSG00000122691	ENSG00000122691	Ischemic stroke	expert curated	CODING	High	OpenTargets_2024	29531354.0
ENSG00000146733_glycine_measurement_nan	7	56011401		ENSG00000146733	ENSG00000146733	glycine measurement	expert curated	CODING	High	OpenTargets_2024	30837465.0
ENSG00000170615_hearing_loss_nan	7	103421378		ENSG00000170615	ENSG00000170615	hearing loss	expert curated	CODING	High	OpenTargets_2024	
ENSG00000002745_heel_bone_mineral_de_nan	7	121322110		ENSG00000002745	ENSG00000002745	heel bone mineral density	expert curated	CODING	High	OpenTargets_2024	30048462.0
ENSG00000179603_worry_measurement_nan	7	126738788		ENSG00000179603	ENSG00000179603	worry measurement	expert curated	CODING	High	OpenTargets_2024	29500382.0
ENSG00000257138_alcohol_consumption__nan	7	141973545		ENSG00000257138	ENSG00000257138	alcohol consumption measurement	expert curated	CODING	High	OpenTargets_2024	
ENSG00000243896_diet_measurement_nan	7	144026044		ENSG00000243896	ENSG00000243896	diet measurement	expert curated	CODING	High	OpenTargets_2024	
ENSG00000169946_plateletcrit_nan	8	105569300		ENSG00000169946	ENSG00000169946	plateletcrit	expert curated	CODING	High	OpenTargets_2024	
ENSG00000178445_glycine_measurement_nan	9	6550024		ENSG00000178445	ENSG00000178445	glycine measurement	expert curated	CODING	High	OpenTargets_2024	30837465.0
ENSG00000173068_skin_pigmentation_nan	9	16885019		ENSG00000173068	ENSG00000173068	skin pigmentation	expert curated	CODING	High	OpenTargets_2024	
ENSG00000147889_coronary_artery_dise_nan	9	22098575		ENSG00000147889	ENSG00000147889	coronary artery disease	expert curated	CODING	High	OpenTargets_2024	29212778.0
ENSG00000147883_coronary_artery_dise_nan	9	22098575		ENSG00000147883	ENSG00000147883	coronary artery disease	expert curated	CODING	High	OpenTargets_2024	29212778.0
ENSG00000178919_multinodular_goiter_nan	9	97776188		ENSG00000178919	ENSG00000178919	multinodular goiter	expert curated	CODING	High	OpenTargets_2024	
ENSG00000136944_osteoarthritis,_hip_nan	9	126624581		ENSG00000136944	ENSG00000136944	osteoarthritis, hip	expert curated	CODING	High	OpenTargets_2024	30664745.0
ENSG00000175164_deep_vein_thrombosis_nan	9	133267960		ENSG00000175164	ENSG00000175164	deep vein thrombosis	expert curated	CODING	High	OpenTargets_2024	
ENSG00000169083_balding_measurement_nan	X	67450724		ENSG00000169083	ENSG00000169083	balding measurement	expert curated	CODING	High	OpenTargets_2024	30573740.0
ENSG00000169174_coronary_artery_dise_nan	1	55030366		ENSG00000169174	ENSG00000169174	coronary artery disease	drug	CODING	High	ProGeM_2019	26343387.0
ENSG00000169174_cardiovascular_syste_nan	1	55039974		ENSG00000169174	ENSG00000169174	cardiovascular system disease	drug	CODING	High	ProGeM_2019	30595370.0
ENSG00000169344_nephrolithiasis_nan	16	20355185		ENSG00000169344	ENSG00000169344	nephrolithiasis	expert curated	CODING	High	ProGeM_2019	
ENSG00000141510_skin_carcinoma_nan	17	7668434		ENSG00000141510	ENSG00000141510	skin carcinoma	expert curated	CODING	High	ProGeM_2019	
ENSG00000166603_lean_body_mass_nan	18	60183694		ENSG00000166603	ENSG00000166603	lean body mass	expert curated	CODING	High	ProGeM_2019	
